"BLDG
Location",m²,"Qty 
of rooms",Actual Sqm (m2),"Frequency 
Per Day","Frequency 
Per Week","Max Frexuency 
Per Month ","Total m²
Week","EoM Invoicing max.
 Sqm (m2)","# Weeks of 
service",Start Date,End Date,,
,,,,,,,,,,,,,
Bld. 50 Meeting room (1 time a week),25.20,1,25.20,1,1,5,25.2,126,14,1-Oct-25,31-Dec-25,,
Bld. 50 Office Nr 09A - 11 (2 times a week),45.15,1,45.15,1,2,10,90.3,451.5,14,1-Oct-25,31-Dec-25,,
Bld. 50 Office Nr 5 (2 times a week),22.48,1,22.48,1,2,10,44.96,224.8,14,1-Oct-25,31-Dec-25,,
Bld. 50 Office Nr 7 (2 times a week),19.11,1,19.11,1,2,10,38.22,191.1,14,1-Oct-25,31-Dec-25,,
Bld. 50 Corridor NSPA (7 times a week),22.52,1,22.52,1,7,31,157.64,698.12,14,1-Oct-25,31-Dec-25,,
Bld. 50 Office Nr 09,4.62,1,4.62,1,1,5,4.62,23.1,14,1-Oct-25,31-Dec-25,,
Bld. 50 Office Nr 7a ,10.15,1,10.15,1,1,5,10.15,50.75,14,1-Oct-25,31-Dec-25,,
Bld. 112 Laundry Room,14.10,1,14.10,1,0.5,3,7.05,42.3,14,1-Oct-25,31-Dec-25,,
Bld. 078 - MWA,38.00,1,38.00,1,0.5,3,19,114,14,1-Oct-25,31-Dec-25,,
Subtotal,,,201.33,,,,397.14,1921.67,,,,,
Urgent Cleaning of NTE,500.00,1,500.00,1,1,1,500,500,14,1-Oct-25,31-Dec-25,,
Total ,,,662.42,,,,662.42,1312.10,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
