Camp_Name,Compound_Name,BLDG_Location,m²,Qty_of_rooms,Actual_Sqm_m2,Frequency_Per_Day,Frequency_Per_Week,Max_Frequency_Per_Month,Start_Date,End_Date,Shift_Code,Time_Window_Start,Time_Window_End
CAMP1,DANISH,Bld. 87, 1 single container (toilet),13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,MORNING,08:00,17:00
CAMP1,DANISH,Bld. 87, 1 single containers F4,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F5,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F6,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F7,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F8,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F9,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F10,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F11,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F12,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F13,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F14,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F15,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F16,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F17,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F18,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F19,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F20,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F21,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F22,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
CAMP1,DANISH,Bld. 87, 1 single containers F23,13.16,1,13.16,1,1,1,1-Oct-25,31-Dec-25,EVENING,18:00,23:00
